-1164692389,-2145411301,0.4,0.313,NaN,NaN
-1164675733,-2145394642,0.399,0.305,0.387,0.079
-1164658890,-2145377795,0.397,0.307,0.386,0.076
-1164642433,-2145361335,0.393,0.321,NaN,NaN
-1164625828,-2145344727,0.397,0.317,0.387,0.08
-1164608980,-2145327875,0.397,0.306,0.385,0.078
-1164592573,-2145311465,0.398,0.319,NaN,NaN
-1164575923,-2145294812,0.396,0.322,0.393,0.078
-1164559070,-2145277955,0.394,0.308,0.388,0.077
-1164542617,-2145261499,0.395,0.304,NaN,NaN
-1164526017,-2145244896,0.395,0.29,0.379,0.084
-1164509160,-2145228035,0.39,0.217,0.371,0.07
-1164492758,-2145211630,0.399,0.182,NaN,NaN
-1164476015,-2145194884,0.406,0.174,0.378,0.071
-1164459250,-2145178115,0.403,0.185,0.377,0.072
-1164442802,-2145161664,0.403,0.186,NaN,NaN
-1164426110,-2145144969,0.404,0.191,0.38,0.075
-1164409340,-2145128195,0.402,0.198,0.383,0.073
-1164392943,-2145111795,0.403,0.193,NaN,NaN
-1164376204,-2145095053,0.401,0.197,0.38,0.071
-1164359430,-2145078275,0.404,0.192,0.38,0.073
-1164343083,-2145061925,0.408,0.195,NaN,NaN
-1164326396,-2145045235,0.405,0.192,0.383,0.083
-1164309525,-2145028360,0.405,0.187,0.387,0.071
-1164293127,-2145011959,0.404,0.196,NaN,NaN
-1164276394,-2144995223,0.403,0.201,0.385,0.069
-1164259615,-2144978440,0.376,0.192,0.335,0.077
-1164243268,-2144962090,0.351,0.175,NaN,NaN
-1164226488,-2144945307,0.33,0.172,0.28,0.049
-1164209705,-2144928520,0.327,0.174,0.279,0.052
-1164193312,-2144912124,0.325,0.174,0.288,0.05
-1164176583,-2144895392,0.325,0.174,0.284,0.049
-1164159794,-2144878600,0.329,0.176,0.277,0.063
-1164143452,-2144862254,0.329,0.17,NaN,NaN
-1164126677,-2144845476,0.326,0.171,0.277,0.062
-1164109884,-2144828680,0.327,0.176,0.281,0.067
-1164093496,-2144812288,0.331,0.177,NaN,NaN
-1164076772,-2144795561,0.332,0.18,0.282,0.069
-1164059979,-2144778765,0.333,0.172,0.277,0.066
-1164043637,-2144762419,0.33,0.176,NaN,NaN
